Function	Provider	MEASURE	Measure	LOCATION	Country	Year	Unit Code	Unit	Value
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.526
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.546
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.544
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.249
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.238
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.182
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.177
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.079
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.084
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.09
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.083
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.079
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.083
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.086
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.083
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.27
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.286
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.288
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.312
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.296
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.312
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.304
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.376
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.192
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.191
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.195
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.225
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.214
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.226
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.216
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.29
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	0.002
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	0.004
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	0.002
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	0.004
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	0.006
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.091
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.089
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.093
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.09
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.083
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.087
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.069
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.07
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	2.907
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	2.926
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	3.014
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	3.135
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	2.904
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	3.001
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	2.859
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	2.842
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2018	PC	Percentage	2.809
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.057
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.053
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.042
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.041
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.05
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.046
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.044
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.045
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.34
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.339
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.339
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.352
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.376
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.372
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.398
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.397
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.996
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.982
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.938
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.912
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.858
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.876
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.886
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.87
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.081
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.089
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.075
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.083
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.087
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.066
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.057
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.192
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.058
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.062
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.058
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.066
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.072
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.06
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.077
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.079
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.021
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.021
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.021
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.022
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.022
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.022
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.002
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.077
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	0.144
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	0.14
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	0.121
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	0.116
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	0.125
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	0.113
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	0.091
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	0.089
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2010	PC	Percentage	0.148
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2011	PC	Percentage	0.137
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2012	PC	Percentage	0.123
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2013	PC	Percentage	0.207
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2014	PC	Percentage	0.19
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2015	PC	Percentage	0.177
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2016	PC	Percentage	0.187
Preventive care	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2017	PC	Percentage	0.174
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	1.086
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	1.046
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	1.091
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	1.095
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	1.105
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	1.062
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	1.018
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	1.009
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2018	PC	Percentage	0.956
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.018
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.016
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.013
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.017
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.019
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.032
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.032
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.036
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.193
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.204
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.206
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.2
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.211
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.221
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.232
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	0.229
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2010	PC	Percentage	1.989
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2011	PC	Percentage	2.021
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2012	PC	Percentage	2.084
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2013	PC	Percentage	2.133
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2014	PC	Percentage	2.197
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2015	PC	Percentage	2.052
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2016	PC	Percentage	2.003
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2017	PC	Percentage	2.144
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	0.221
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	0.194
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	0.206
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	0.181
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	0.187
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	0.203
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	0.21
Preventive care	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	0.208
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.006
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.006
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.006
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.007
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.007
Other health care services unknown	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	0.007
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	6.334
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	5.823
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	5.827
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	6.01
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	6.117
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	6.386
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	6.504
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	6.429
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2018	PC	Percentage	6.449
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2010	PC	Percentage	0.174
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2011	PC	Percentage	0.16
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2012	PC	Percentage	0.159
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2013	PC	Percentage	0.161
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2014	PC	Percentage	0.168
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2015	PC	Percentage	0.143
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2016	PC	Percentage	0.134
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	SVN	Slovenia	2017	PC	Percentage	0.144
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	0.003
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	0.003
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	0.003
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	0.003
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	0.001
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	0.004
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	0.004
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	0.007
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2010	PC	Percentage	0.455
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2011	PC	Percentage	0.501
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2012	PC	Percentage	0.549
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2013	PC	Percentage	0.552
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2014	PC	Percentage	0.552
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2015	PC	Percentage	0.566
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2016	PC	Percentage	0.57
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2017	PC	Percentage	0.564
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	1.917
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	1.89
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	1.939
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	2.029
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	1.958
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	1.817
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	1.772
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	1.685
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2010	PC	Percentage	0.22
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2011	PC	Percentage	0.217
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2012	PC	Percentage	0.212
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2013	PC	Percentage	0.232
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2014	PC	Percentage	0.209
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2015	PC	Percentage	0.185
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2016	PC	Percentage	0.18
Governance and health system and financing administration	All providers	PARPIB	Share of gross domestic product	CZE	Czech Republic	2017	PC	Percentage	0.171
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2010	PC	Percentage	0.753
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2011	PC	Percentage	0.673
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2012	PC	Percentage	0.684
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2013	PC	Percentage	0.695
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2014	PC	Percentage	0.652
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2015	PC	Percentage	0.656
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2016	PC	Percentage	0.718
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	EST	Estonia	2017	PC	Percentage	0.661
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	0.626
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	0.612
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	0.69
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	0.694
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	0.834
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	1.064
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	0.995
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	1.047
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2010	PC	Percentage	2.021
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2011	PC	Percentage	1.744
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2012	PC	Percentage	1.823
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2013	PC	Percentage	1.785
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2014	PC	Percentage	1.674
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2015	PC	Percentage	1.734
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2016	PC	Percentage	1.493
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	MEX	Mexico	2017	PC	Percentage	1.498
Preventive care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2010	PC	Percentage	0.173
Preventive care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2011	PC	Percentage	0.185
Preventive care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2012	PC	Percentage	0.185
Preventive care	All providers	PARPIB	Share of gross domestic product	BEL	Belgium	2013	PC	Percentage	0.191
